description,category
FlipkaRTCenteR,Shopping
UNiversityFeeS,Education
online shopping paymentApp,Shopping
TataPowerOnline,Bills
VegRestaurantMart,Food
insurancePreMIuMShop,Bills
ZePtoApp,Groceries
grocery store,Groceries
GoibIbo,Travel
spLit bilL pAymEnt,Transfer
aUto FarE upi,Travel
Mobile Recharge,Bills
sipPaYment,Investment
MyNtraAPp,Shopping
RddePosIt,Investment
coacHing instiTutE,Education
elecTricityBIll,Bills
heAlThKart,Health
InSUrAncePrEMium,Bills
NoNVegRestaUrAnT,Food
AmAzonprime,Entertainment
FOotweaRstOre,Shopping
bus ticket bookingPayment,Travel
Grocery storE PaymEntApp,Groceries
DoctorConsultationCenter,Health
aYurveDaSHOpOnLINe,Health
cab boOking app,Travel
ChowmeinStall,Food
McdonaldS,Food
IndiGoApp,Travel
MobileShopShop,Shopping
ZEe5,Entertainment
PractoMart,Health
UpStox,Investment
online COurse payment,Education
spOtiFy,Entertainment
stReAMIng Subscription,Entertainment
cLoTHes purchase,Shopping
CHowMeinstalL,Food
FDBoOking,Investment
dAiLY esSenTials,Groceries
OnlineCourse,Education
AirportPayment,Travel
ElectronicsSTOre,Shopping
GEnEralStore,Groceries
RicEstore,Groceries
ExamfeEs,Education
loan payment,Bills
CabPayment,Travel
electronics storePvt,Shopping
MetRoCArdPaY,Travel
HotElSaravana,Food
footWearstore,Shopping
tRainticKet,Travel
JeweLlerYstOrE,Shopping
CafeCOffEeDay,Food
HITEChCHai,Food
SPiCeJEt,Travel
CoachinGCEnter,Education
HitechChai,Food
phARmEasy,Health
LOcalDhaba,Food
ElectronicsStorePayment,Shopping
pg rent,Transfer
broAdbanD wIfi bill,Bills
insurance premiumLtd,Bills
mutUal fund sip,Investment
SteamPayment,Entertainment
watErBillMaRt,Bills
FamilyTRaNsFer,Transfer
UniVERsityFees,Education
TiffinSerVIce,Food
NETfLix,Entertainment
kIrana shop,Groceries
flighttIcKet,Travel
AirtelOnline,Bills
TuitionFeesPay,Education
GarMeNtStorEApp,Shopping
UpstoXStore,Investment
tiffin payment,Food
MOvieTickeT,Entertainment
hostelFeeS,Transfer
footwear shopPayment,Shopping
ELectroNicsStoreapp,Shopping
CloThEsShop,Shopping
restaurant bill,Food
sWigyinstamarTPay,Groceries
medical store,Health
BookmySHow,Entertainment
broadband wifi billApp,Bills
UPstox,Investment
BloOdTEst,Health
fooD stall paYmeNt,Food
Fuel stAtioN paYMEnT,Travel
ReceivEdMOnEyCeNter,Transfer
breakFasT Shop,Food
breakfAst shOpPaYmeNt,Food
loanEmi,Bills
GOLdBOnD,Investment
UpstoxLtd,Investment
MuttonShopCenter,Food
tatacliq,Shopping
UpiTraNSfer,Transfer
indigoOnline,Travel
BreaDOmelEtte,Food
FlIPKart,Shopping
DEntALclinIc,Health
PlayStationStoreLtd,Entertainment
CollEge fees,Education
SipPayment,Investment
MetroCarD,Travel
PanIPUrIwaLa,Food
universitYFEeS,Education
MetroCardPvt,Travel
FdBooking,Investment
DhABaexpreSs,Food
gas cYLindeR boOking,Bills
sTOck purchasE,Investment
SpencerRetailApp,Groceries
movie ticket booking,Entertainment
BroAdbandBill,Bills
ZeroDhAstOrE,Investment
MedIcalSTore,Health
byju,Education
parking charges,Travel
UtIlitY bilL paymEnTApP,Bills
BIgBaskEt,Groceries
CUltfitOnline,Health
meal order online,Food
electricity bill,Bills
maKEMyTrip,Travel
fuRnitUreSHop,Shopping
inSurance pREmium,Investment
EkarT,Shopping
BusTiCkeT,Travel
FOotwEaR shopLTD,Shopping
InsurancePremium,Bills
veGetable markeT,Groceries
AMazonPrime,Entertainment
REnt paYment laNDLORdPVt,Transfer
DEntalcliniCPvt,Health
stock market investment,Investment
receIvEdMoNey,Transfer
mobile rechargePay,Bills
colLegE tuItion feeSpvT,Education
daily neeDS,Groceries
streaMing subSCRiPtIon,Entertainment
electRIcity bill,Bills
fiRsTCry,Shopping
BlOoDTeStMARt,Health
MedPlusPayment,Health
CuLTFit,Health
MutuAlFund,Investment
NYKAA,Shopping
CreditCardBillLtd,Bills
Upstox,Investment
HotStarceNter,Entertainment
BOokStOre,Education
UdemyLtd,Education
lenSKArt,Health
RiceStoreMart,Groceries
SPiceJEt,Travel
UpiTransferApp,Transfer
bike taxi,Travel
BusTicket,Travel
StudYMAteRiaL,Education
tiffin centeR,Food
SpLiTBillPvt,Transfer
tUiTionFEes,Education
SpLit bill payMent,Transfer
kiranA shop,Groceries
LibraryFees,Education
UdemY,Education
UniversityFeesApp,Education
food dELivery aPp,Food
DmartPay,Groceries
FriendPaymentltd,Transfer
Spotify,Entertainment
HoTelsaravAna,Food
ZepTOApp,Groceries
Pgrent,Transfer
NetflIx,Entertainment
BookStoreMArt,Education
LandloRdRent,Transfer
BusTickeTApP,Travel
sTreaminG subscRiptionPay,Entertainment
caBPaymeNt,Travel
bus tickEt bOoKIng,Travel
dtH rechargE,Bills
MoneyReturn,Transfer
laB Test fees,Health
CoachingCenter,Education
movie ticket,Entertainment
coaching institutePayment,Education
RedBus,Travel
aPolloPhArmacy,Health
ReceivedMoney,Transfer
ClinicFees,Health
RoadSideTeaApp,Food
MilKBOothApP,Groceries
WaterBillPvt,Bills
veGETAble mArketPvt,Groceries
tiFFin CEnter,Food
cab fare,Travel
heAlth cHeckup,Health
PaniPuriWalaCenter,Food
dIagnoStic lab,Health
gold inVEsTmeNt,Investment
ZerodhA,Investment
irctcFoOD,Food
GaminG pAyMent,Entertainment
grOCery store paYmEnt,Groceries
split bill,Transfer
GrOfers,Groceries
TollpAymEnt,Travel
LoCaldHabaPayment,Food
MUtUaLFundMaRT,Investment
IrctcFoodCenter,Food
ppfDeposIT,Investment
BRoadbaNdBIll,Bills
CouRSeraLtd,Education
FriendPayment,Transfer
PersOnaLTraNSfer,Transfer
MoVie tIcKeT bOoking,Entertainment
PlaYStationStore,Entertainment
flipkart,Shopping
FirstCry,Shopping
univerSityFees,Education
makeMyTrip,Travel
MovIE tiCkeT BookiNg,Entertainment
mutual fund,Investment
faMILYTRansfer,Transfer
mobile accessoriesPayment,Shopping
ott platforM subscripTioNpay,Entertainment
AmazonPrime,Entertainment
DthrEchaRge,Bills
JIoaPp,Bills
LicPRemIumMArt,Investment
BharatPetroL,Travel
DentalClinic,Health
COllegeFeEsMaRt,Education
gym membership,Health
show booking,Entertainment
broAdBAnd wifi bIll,Bills
NonVegRestaurantCenter,Food
gYm meMbershipPvt,Health
GROFers,Groceries
ZumZumFood,Food
college tUitiOn feEs,Education
lab test fees,Health
MEESHo,Shopping
StarbuckSMart,Food
coaching institute,Education
meal order oNlIne,Food
ROaDSideTea,Food
BookStoreLtd,Education
jioMart,Groceries
Udemy,Education
NonVegReStaurAnt,Food
CrediTCardBill,Bills
FriendPaymentPvt,Transfer
KFC,Food
fUeL station pAymentOnlIne,Travel
mobile shop,Shopping
MakeMyTrip,Travel
PgRent,Transfer
bus tickeT boOking,Travel
GoldBond,Investment
petrol fill,Travel
PizzaHuT,Food
BanKtransfEr,Transfer
PrACTo,Health
restaurant paymEnt,Food
stoCK markEt invesTMent,Investment
BHaratPetrol,Travel
JewelleRYStOre,Shopping
gASbill,Bills
mutual funD,Investment
gas cylinder bookingMart,Bills
UberMotO,Travel
BreadOmeleTTE,Food
BusTickEt,Travel
IRcTcFoOd,Food
Starbucks,Food
AjioApp,Shopping
chickEnShop,Food
DmarT,Groceries
uNaCadEMyappPvT,Education
DMart,Groceries
senT money to friendPayMent,Transfer
TatacLIq,Shopping
IceCreamParlour,Food
MedicalStoreApp,Health
SpotiFy,Entertainment
RDdePOSitCenTeR,Investment
ElectronicsStoRE,Shopping
auToRiCkshaw,Travel
UdemyMart,Education
coAchING center,Education
stUdy bOokS pUrChasE,Education
kirana shopLtd,Groceries
zeptoApp,Groceries
AyUrveDAshop,Health
street foOd pAymENt,Food
ExamFees,Education
FaMIlytRAnsfer,Transfer
peTRolpump,Travel
TraiN ticket Irctc,Travel
phArMacy PaymenT,Health
UnacademyApp,Education
MeTroCard,Travel
bus ticket boOkinGCEnter,Travel
FlightTicket,Travel
online shopping payment,Shopping
KiranaStoreStore,Groceries
IceCreAmParlour,Food
stoCK maRket iNVestmentCenter,Investment
inox,Entertainment
bSnlrechArGe,Bills
book PuRchase,Education
fuel payment,Travel
RedBusShop,Travel
streaming subscription,Entertainment
MYntra,Shopping
GeneRalSTore,Groceries
EleCtriciTyBillPayment,Bills
TollPayment,Travel
LiBrary fees,Education
mObile sHOp,Shopping
TiFfinSERvice,Food
wifiPAyMent,Bills
Zee5,Entertainment
CABpaYment,Travel
fd deposit bank,Investment
YOUtubePRemiUMPvt,Entertainment
PLaySTationSTore,Entertainment
food delivery appPay,Food
ConcertTIcKet,Entertainment
CanteeNFood,Food
tuitionFeEs,Education
sent money to friend,Transfer
hospitaL bill,Health
RentpayMEntCentER,Transfer
VodafonePvt,Bills
SwigyInstamart,Groceries
SpencerRetail,Groceries
HostelFees,Transfer
WaTerBIlL,Bills
SwiggyApp,Food
JioMart,Groceries
irctc,Travel
MaKEMyTrIpCEntEr,Travel
YOuTubePRemIum,Entertainment
utility bill payment,Bills
PlayStationStore,Entertainment
TIFfinServiCe,Food
HpPetROLMArt,Travel
aiRteL,Bills
ReLiantfrEsh,Groceries
LandlorDRenT,Transfer
garMeNT StOre,Shopping
HospiTAl bill,Health
PlAyStationStore,Entertainment
MedicaL stoRELtD,Health
localkirana,Groceries
MuttonShop,Food
MedPLUs,Health
PvrShop,Entertainment
FooTwearStorePay,Shopping
LiBrAryFees,Education
fooTwear shop,Shopping
PaniPuriWalA,Food
personAl upi transfer,Transfer
gas cYliNder bOokINg,Bills
bike rIde paYMentCEnter,Travel
MatariBreakfast,Food
credit card bill,Bills
GOlDGym,Health
ChickenShopCenter,Food
FuEl station pAyment,Travel
tatapoWer,Bills
EkaRt,Shopping
ClinicFeeS,Health
GamePurchasePayment,Entertainment
Dmart,Groceries
phaRmacy payMEnt,Health
GeNeraLStorE,Groceries
AmazoNLtd,Shopping
rent PAyMent laNDlOrD,Transfer
nonVeGRestaUrantSHOp,Food
paRkinGFeemart,Travel
clOthEs purchaseLtd,Shopping
Lenskart,Health
NPsContributioN,Investment
CreDItCardBill,Bills
personal upi transferCenter,Transfer
health checkup,Health
gyM membership,Health
milk deliveryPay,Groceries
AYurvedaSHoP,Health
GamePurchaSe,Entertainment
CAnteeNfoOD,Food
study books purchase,Education
siP paYmenT,Investment
onlinE couRse PaYmenTStORE,Education
INox,Entertainment
VeDaNtulive,Education
MedicAl stOrE,Health
HOtsTar,Entertainment
RedBUs,Travel
otT pLaTForm subscrIptioN,Entertainment
clinIc paymenT,Health
ZumZUmFooD,Food
CafeCoffeeDay,Food
vegetablE purcHasE,Groceries
tiFfinSErviceShop,Food
HealthKaRt,Health
coachinG iNstItUte,Education
doctor fees,Health
online order,Shopping
ElectrIcityBiLl,Bills
muTtonSHopcenTer,Food
MakeMyTripCenter,Travel
doctor fEes,Health
stUdyMatERial,Education
AutorickshAw,Travel
online shoPping pAYmentonline,Shopping
ApolloPharmacy,Health
sHow bOOkinG,Entertainment
bSnlRechargE,Bills
Hostelfees,Transfer
moNey returned,Transfer
golD InvestmEnt,Investment
MeeshoCenter,Shopping
FlightTicketCenter,Travel
IndianOIL,Travel
utility bIll paymeNt,Bills
mutual fUnd sip,Investment
CoaCHINgCentEr,Education
taTaPower,Bills
toll Booth,Travel
delivery payment,Shopping
NeTMEDscenTer,Health
bharatpetroL,Travel
PathologyLab,Health
HpPetrol,Travel
SentmoneyonlinE,Transfer
Kirana shop,Groceries
StOCkPurchase,Investment
VegReStauRant,Food
McDonalds,Food
VegrestauRanTapp,Food
SonyLivPay,Entertainment
RApidoOnline,Travel
BigBAsketLtd,Groceries
VedantuLiveStore,Education
STEamPAyment,Entertainment
RapiDo,Travel
spliTBILL,Transfer
MEsspaymentStoRe,Food
TailoRPaymENT,Shopping
HostELFeeSStore,Transfer
sentmoney,Transfer
VegetableVEndor,Groceries
RiceStore,Groceries
WaTcHShoponlIne,Shopping
CanteenFood,Food
StockPurchaSe,Investment
FurnitureShop,Shopping
MeAl oRder ONLInePayment,Food
ott platform subscriptionLtd,Entertainment
HeaLthkaRtPaymeNt,Health
bike ride paymentPayment,Travel
BhaRatpEtROl,Travel
LIcPreMium,Investment
Goibibo,Travel
MoreSuperMarkeT,Groceries
FaMilyTrANsfer,Transfer
FdBoOking,Investment
deliveRy Payment,Shopping
movIe tickeT bookING,Entertainment
PaniPURiWala,Food
auto FAre upi,Travel
clothes purchAse,Shopping
ClothesShop,Shopping
NetflixShop,Entertainment
meTRO rechaRge,Travel
gold investmentPvt,Investment
zOmato,Food
mObIleRecHARge,Bills
SchOOlFEEs,Education
AjiO,Shopping
HpPetroL,Travel
ZomatoShop,Food
meaL ORDeR onLine,Food
TailorpAyment,Shopping
MobileRechargeOnline,Bills
SubwayPay,Food
garmenTStoRe,Shopping
street food PayMeNt,Food
StoCk market invEstment,Investment
MEssPaymEnt,Food
RdDepositPayment,Investment
RenTpayment,Transfer
sent money to friendApp,Transfer
AmazOn,Shopping
insuRanCe premium Payment,Investment
BookStore,Education
college tuition feesMart,Education
book purchase,Education
electroNICs storE,Shopping
mutual fund sipMart,Investment
sent to friend,Transfer
JiocinemaShop,Entertainment
train ticket irctcLtd,Travel
onLine order,Shopping
fligHtTickEtMart,Travel
StudyMaterialCenter,Education
PEtRolPump,Travel
auto Fare UpiMArt,Travel
Loanemi,Bills
hppetrol,Travel
IRctc,Travel
medicine purchase,Health
Gas cYliNder bookiNGCenter,Bills
coaChing inStiTutE,Education
bus ticket booking,Travel
WAtCHShop,Shopping
foOTWeaR ShoP,Shopping
school fees,Education
TrainTicketOnline,Travel
BYju,Education
hospital BiLl,Health
MeDicAl store,Health
SplitBillLtd,Transfer
hostel fees,Transfer
brEaKfast Shop,Food
KiRanastorE,Groceries
DmartStore,Groceries
footwear payment,Shopping
ProVisiOnsShop,Groceries
DhabaExpressOnline,Food
RailwaySTation,Travel
electronics store,Shopping
Dominos,Food
restaurant payment,Food
ReceivedMoneyPvt,Transfer
CanteenFoodShop,Food
FurnitureShopShop,Shopping
ClinicFeesStore,Health
DThREchargePayMent,Bills
BIgBasKet,Groceries
irctCFooDPay,Food
meal delivery,Food
airIndiAStore,Travel
grocery store payment,Groceries
ZePToAppStoRe,Groceries
college tUition fees,Education
breakfast payment,Food
YoutubePremiumPayment,Entertainment
dAily essEntials,Groceries
tailor fees,Shopping
daily eSsentiAlS,Groceries
LoanEmi,Bills
cLoThesShop,Shopping
SpiceJet,Travel
StudyMaTeRiaL,Education
RiCeStoRe,Groceries
BusTicketMart,Travel
SPLitBIll,Transfer
AmazoNPrIme,Entertainment
ZOmAto,Food
zOmatoPay,Food
PetrolPump,Travel
kirana shop,Groceries
reNt payment landLOrD,Transfer
GamepurchaSe,Entertainment
TrainTicket,Travel
persOnal trANsFeR,Transfer
RestauraNt paYmEnt,Food
vodAfOnE,Bills
DominosLtd,Food
Fd DepOSiT bank,Investment
ELectronIcsStoRe,Shopping
bUS tIckET,Travel
inSurance emi,Bills
InoxPayment,Entertainment
PosTPaidbill,Bills
ott platform subscription,Entertainment
MovieTicket,Entertainment
FamilyTransferPay,Transfer
kirana ShOpStore,Groceries
AmazOnPrimeOnline,Entertainment
Swiggy,Food
Rapido,Travel
MsPooRNa Arogya,Health
dominoS,Food
IndianOilLtd,Travel
clothes purchase,Shopping
cafeCoffeEDayApp,Food
STock MARKet Investment,Investment
LocalDhaba,Food
AutoRiCkShaW,Travel
HotelSaravana,Food
tiffin cEnterShop,Food
restaUrant PaymeNt,Food
foodSTall,Food
ppf deposit,Investment
rent payment landLOrD,Transfer
DoCTorconsulTaTionmart,Health
biryanihOuse,Food
ClInicFeEsApp,Health
LicPremium,Investment
ChaIPoint,Food
SchoolFees,Education
CafeCOffeeday,Food
groww,Investment
MobileShoPShOp,Shopping
tiffin center,Food
BookMyShowShop,Entertainment
OnlineCourseShop,Education
cOaching insTitUteonline,Education
insuRAncE prEmium,Bills
FurniTureShop,Shopping
study books purchaseStore,Education
exam registration fee,Education
NeTfLiX,Entertainment
Ajio,Shopping
PersonalTransferApp,Transfer
DocTorconsuLtation,Health
SIppaymEnt,Investment
SWigYInSTaMart,Groceries
GeneralStorePayment,Groceries
HotelSaravanaOnline,Food
MoreSUpermarket,Groceries
MataRiBreakfast,Food
gamePurchase,Entertainment
SpencERRetail,Groceries
mUTualFund,Investment
paniPuriWAla,Food
Irctc,Travel
MovieTIcket,Entertainment
GasBillPay,Bills
busTicket,Travel
BroadBaNdBIllCenter,Bills
MobiLeShoP,Shopping
tuitIonfees,Education
BigBasket,Groceries
LocAlKiRaNa,Groceries
YogaClass,Health
ICeCrEamParloUr,Food
split bill paymentPayment,Transfer
Coursera,Education
LocalDhabaOnline,Food
daIlyNeedS,Groceries
landLordRenTApp,Transfer
cafeCOFFeeDay,Food
phArmEasY,Health
TiffinService,Food
ChowmEinSTallLtd,Food
LicPremiuM,Investment
STarbuckS,Food
grOCery SToRE,Groceries
TailorPayment,Shopping
BiryaniHouse,Food
VEdantuLiVeLTD,Education
CloThesShoP,Shopping
BankTransfer,Transfer
BharatPetrolOnline,Travel
PosTPaidBill,Bills
icEcreamParlOUr,Food
MessPaymentPvt,Food
Airtel,Bills
HospitalBiLl,Health
MessPayment,Food
IrctcFood,Food
MoneyReturnPay,Transfer
hiTechChaiPvt,Food
upiTransfeR,Transfer
GARmEntStoRe,Shopping
CRedItCardbiLl,Bills
EKart,Shopping
VegRestaurant,Food
UbeR,Travel
METrocard,Travel
AmazonMart,Shopping
MobileRecharge,Bills
pharmacy paymentShop,Health
INdiANOil,Travel
food stall payment,Food
YogaCLAsS,Health
MataRiBreakfastShop,Food
Split bill payment,Transfer
rent payment,Transfer
GoldGymLtd,Health
ReLiAntFresh,Groceries
dinner payment,Food
fuEl Station pAyMent,Travel
HiTechchai,Food
traiN ticket iRcTc,Travel
BiryaniHouseOnline,Food
insurance PRemium pAyment,Investment
VoDaFone,Bills
golD investment,Investment
BreakfasT shop,Food
canteeN bill,Food
BsnlrEchargeShoP,Bills
GoIbiboLtd,Travel
NpsContributionShop,Investment
Groww,Investment
GroupPaymentApp,Transfer
PathologyLabPay,Health
MedPlus,Health
GoLdGYm,Health
LOanemi,Bills
ParKingFee,Travel
Tiffin cenTEr,Food
rent paymEnt,Transfer
sabji market,Groceries
AirIndia,Travel
MetrocaRd,Travel
KIranASTorE,Groceries
canteen bill,Food
RoadSideTeaPvt,Food
sPlitBiLL,Transfer
SteampAyment,Entertainment
UberShop,Travel
ExamFEes,Education
LibraryFeesMart,Education
BiryanihouSe,Food
MatARiBrEakfAst,Food
PIzzaHut,Food
CoachingCenTerApP,Education
ZerodhaApp,Investment
Flipkart,Shopping
movie ticket bookingMart,Entertainment
MoreSupermarketApp,Groceries
studY books puRchase,Education
Zomato,Food
VedaNtuliVe,Education
IrcTcFOod,Food
LiBraryFEeS,Education
steaMPaYMeNtShoP,Entertainment
supermArket bilL,Groceries
PraCto,Health
BlInkit,Groceries
VegetableVendor,Groceries
LandlordRentStore,Transfer
FdBOoking,Investment
bike ride payment,Travel
LicPremiumCenter,Investment
ppf dePoSit,Investment
HiTechChaiPvt,Food
ArcaDeGame,Entertainment
meAl DelivEry,Food
BloodTest,Health
DhabaExpress,Food
yogAClasSMart,Health
MutualFundMart,Investment
meal order onlineOnline,Food
cAnteEnFoOdshop,Food
FlightTicKet,Travel
BOokStore,Education
snacks stALl,Food
college tuition fees,Education
PersonalTransferPay,Transfer
SPenCerRetaiL,Groceries
SwiGgY,Food
flIpkart,Shopping
streAmIng subscriPtIon,Entertainment
OlaCeNter,Travel
diAgnOsTIC Lab,Health
ParkingFeeCenter,Travel
VodAfoNe,Bills
ElectricityBillPayment,Bills
GoldBondApp,Investment
JioMartCenter,Groceries
Myntra,Shopping
SPenceRRetaiL,Groceries
TataSkyCenter,Bills
TatacliqShop,Shopping
CultFit,Health
metro recharge,Travel
medicAL sTore,Health
Gaming paymentshOp,Entertainment
GarmENtStore,Shopping
MovieTickeTapp,Entertainment
ByjuMart,Education
